Time in Milliseconds, Duration from start, Key
1589107047786,0,a
1589107049114,1328,a
1589107050539,2753,a
1589107052117,4331,Enter
1589107053984,6198,t
1589107054121,6335,h
1589107054197,6411,e
1589107054300,6514, 
1589107054454,6668,s
1589107054639,6853,p
1589107054784,6998,a
1589107054995,7209,c
1589107055035,7249,e
1589107055178,7392, 
1589107055404,7618,b
1589107055635,7849,e
1589107055704,7918,t
1589107055929,8143,w
1589107055974,8188,e
1589107056156,8370,e
1589107056429,8643,n
1589107057122,9336, 
1589107057269,9483,w
1589107057480,9694,a
1589107057646,9860,i
1589107057753,9967,t
1589107057833,10047,i
1589107058023,10237,n
1589107058092,10306,g
1589107058215,10429, 
1589107058334,10548,f
1589107058445,10659,o
1589107058533,10747,r
1589107058694,10908, 
1589107059098,11312,a
1589107059222,11436,n
1589107059405,11619,y
1589107059525,11739,t
1589107059619,11833,h
1589107059794,12008,i
1589107060009,12223,n
1589107060172,12386,g
1589107060345,12559, 
1589107060586,12800,f
1589107060747,12961,e
1589107060932,13146,e
1589107061082,13296,l
1589107061197,13411,s
1589107061323,13537, 
1589107061507,13721,l
1589107061701,13915,i
1589107061908,14122,k
1589107062016,14230,e
1589107062146,14360, 
1589107062246,14460,a
1589107062383,14597, 
1589107062558,14772,c
1589107062651,14865,o
1589107062860,15074,m
1589107063118,15332,p
1589107063343,15557,l
1589107063524,15738,e
1589107063742,15956,t
1589107063778,15992,e
1589107063910,16124, 
1589107064050,16264,w
1589107064307,16521,a
1589107064415,16629,s
1589107064649,16863,t
1589107064850,17064,e
1589107064972,17186, 
1589107065133,17347,o
1589107065220,17434,f
1589107065313,17527, 
1589107065442,17656,t
1589107065521,17735,i
1589107065888,18102,m
1589107066013,18227,e
1589107066284,18498,.
1589107066514,18728, 
1589107066629,18843,w
1589107066802,19016,a
1589107066945,19159,i
1589107067026,19240,t
1589107067120,19334,i
1589107067314,19528,n
1589107067438,19652,g
1589107067642,19856, 
1589107067787,20001,f
1589107067929,20143,o
