Time in Milliseconds, Duration from start, Key
1589141037827,30697,h
1589141037988,30858,e
1589141038121,30991,s
1589141038205,31075,e
1589141038281,31151, 
1589141038639,31509,a
1589141038980,31850,Backspace
1589141039117,31987,c
1589141039183,32053,h
1589141039283,32153,a
1589141039356,32226,r
1589141039528,32398,a
1589141039594,32464,c
1589141039760,32630,t
1589141039948,32818,e
1589141040000,32870,r
1589141040192,33062,s
1589141040411,33281, 
1589141040546,33416,a
1589141040606,33476,r
1589141040687,33557,e
1589141040771,33641, 
1589141040878,33748,s
1589141040992,33862,t
1589141041109,33979,u
1589141041174,34044,d
1589141041318,34188,e
1589141041442,34312,n
1589141041487,34357,t
1589141041655,34525,s
1589141041814,34684, 
1589141042020,34890,a
1589141042166,35036,t
1589141042280,35150, 
1589141042379,35249,t
1589141042550,35420,h
1589141042635,35505,e
1589141042745,35615, 
1589141042961,35831,H
1589141042982,35852,CapsLock
1589141043145,36015,o
1589141043219,36089,g
1589141043437,36307,w
1589141043539,36409,a
1589141043567,36437,r
1589141043882,36752,t
1589141044042,36912,s
1589141044143,37013, 
1589141044354,37224,CapsLock
1589141044355,37225,s
1589141044560,37430,c
1589141044611,37481,h
1589141044783,37653,o
1589141044913,37783,o
1589141045099,37969,l
1589141045194,38064, 
1589141045279,38149,o
1589141045426,38296,f
1589141045568,38438, 
1589141045839,38709,CapsLock
1589141045842,38712,w
1589141046041,38911,i
1589141046082,38952,t
1589141046295,39165,c
1589141046376,39246,h
1589141046518,39388,r
1589141046973,39843,Backspace
1589141047091,39961,c
1589141047260,40130,r
1589141047443,40313,a
1589141047516,40386,f
1589141047692,40562,t
1589141047776,40646, 
1589141047884,40754,a
1589141047959,40829,n
1589141048068,40938,d
1589141048168,41038, 
1589141048423,41293,CapsLock
1589141048435,41305,w
1589141048629,41499,i
1589141048823,41693,z
1589141049010,41880,a
1589141049066,41936,r
1589141049228,42098,d
1589141049520,42390,r
1589141049600,42470,y
1589141049856,42726,.
1589141049921,42791, 
1589141050151,43021,T
1589141050182,43052,CapsLock
1589141050346,43216,h
1589141050489,43359,e
1589141050571,43441, 
1589141050761,43631,m
1589141050930,43800,a
1589141050956,43826,i
1589141051135,44005,n
1589141051195,44065, 
1589141051260,44130,s
1589141051432,44302,t
1589141051556,44426,o
1589141051674,44544,r
1589141051769,44639,y
1589141051827,44697, 
1589141051935,44805,a
1589141052021,44891,r
1589141052209,45079,c
1589141052312,45182, 
1589141052412,45282,c
1589141052501,45371,o
1589141052572,45442,n
1589141052647,45517,e
1589141052729,45599,r
1589141052880,45750,n
1589141053009,45879,c
1589141053150,46020,s
1589141053258,46128, 
1589141053527,46397,CapsLock
1589141053554,46424,h
1589141053799,46669,a
1589141053855,46725,r
1589141054025,46895,r
1589141054098,46968,y
1589141054329,47199,'
1589141054481,47351,s
1589141054578,47448, 
1589141054657,47527,s
1589141054800,47670,t
1589141054965,47835,r
1589141055052,47922,u
1589141055142,48012,g
1589141055305,48175,g
1589141055417,48287,l
1589141055513,48383,e
1589141055626,48496, 
1589141055742,48612,a
1589141055827,48697,g
1589141055967,48837,a
1589141056025,48895,i
1589141056199,49069,n
1589141056296,49166,s
1589141056381,49251,t
1589141056472,49342, 
1589141056713,49583,CapsLock
1589141056714,49584,l
1589141056893,49763,o
1589141056958,49828,r
1589141057129,49999,d
1589141057243,50113, 
1589141057434,50304,V
1589141057446,50316,CapsLock
1589141057622,50492,o
1589141057820,50690,l
1589141057915,50785,d
1589141058107,50977,e
1589141058229,51099,m
1589141058325,51195,o
1589141058378,51248,r
1589141058547,51417,t
1589141058643,51513,comma
1589141058695,51565, 
1589141058801,51671,a
1589141058884,51754, 
1589141059023,51893,d
1589141059235,52105,a
1589141059292,52162,r
1589141059402,52272,k
1589141059468,52338, 
1589141059567,52437,s
1589141060042,52912,Backspace
