Time in Milliseconds, Duration from start, Key
1588993549167,0,a
1588993549450,283, 
1588993549756,589,a
1588993550021,854, 
1588993550305,1138,a
1588993550836,1669,Enter
1588993551273,2106,M
1588993551297,2130,CapsLock
1588993551548,2381,o
1588993551716,2549,s
1588993551872,2705,t
1588993551934,2767, 
1588993552036,2869,k
1588993552207,3040,i
1588993552386,3219,d
1588993552513,3346,s
1588993552630,3463, 
1588993552763,3596,l
1588993552930,3763,o
1588993553079,3912,s
1588993553179,4012,e
1588993553207,4040, 
1588993553333,4166,o
1588993553425,4258,r
1588993553453,4286, 
1588993553623,4456,b
1588993553702,4535,r
1588993553786,4619,e
1588993553858,4691,a
1588993553930,4763,k
1588993553963,4796, 
1588993554077,4910,t
1588993554125,4958,h
1588993554232,5065,e
1588993554306,5139,i
1588993554441,5274,r
1588993554505,5338, 
1588993554652,5485,t
1588993554724,5557,o
1588993554964,5797,y
1588993555136,5969,s
1588993555349,6182,.
1588993555485,6318, 
1588993555716,6549,I
1588993555731,6564,CapsLock
1588993555900,6733, 
1588993556069,6902,c
1588993556156,6989,u
1588993556290,7123,r
1588993556448,7281,a
1588993556495,7328,t
1588993556664,7497,e
1588993556838,7671,d
1588993556943,7776, 
1588993557200,8033,i
1588993557635,8468,n
1588993557841,8674,e
1588993558032,8865,.
1588993558113,8946, 
1588993558504,9337,Enter
1588993559037,9870,I
1588993559057,9890,CapsLock
1588993559300,10133,n
1588993559362,10195, 
1588993560052,10885,n
1588993560159,10992,i
1588993560333,11166,n
1588993560481,11314,t
1588993560645,11478,e
1588993560817,11650,e
1588993561015,11848,n
1588993561126,11959, 
1588993561437,12270,s
1588993561535,12368,e
1588993561681,12514,v
1588993561833,12666,e
1588993561983,12816,n
1588993562062,12895,t
1588993562211,13044,y
1588993562261,13094, 
1588993562358,13191,s
1588993562434,13267,i
1588993562611,13444,x
1588993562783,13616,comma
1588993562826,13659, 
1588993562944,13777,t
1588993563028,13861,h
1588993563178,14011,e
1588993563303,14136, 
1588993563495,14328,U
1588993563514,14347,CapsLock
1588993563683,14516,n
1588993563860,14693,i
1588993563916,14749,v
1588993564093,14926,e
1588993564141,14974,r
1588993564284,15117,s
1588993564384,15217,i
1588993564526,15359,t
1588993564611,15444,y
1588993564670,15503, 
1588993564784,15617,o
1588993564888,15721,f
1588993564979,15812, 
1588993565235,16068,CapsLock
1588993565249,16082,i
1588993565504,16337,o
1588993565665,16498,w
1588993565750,16583,a
1588993566044,16877, 
1588993566599,17432,r
1588993566692,17525,e
1588993566780,17613,n
1588993566880,17713,a
1588993566995,17828,m
1588993567040,17873,e
1588993567212,18045,d
1588993567298,18131, 
1588993567407,18240,a
1588993567592,18425,n
1588993567632,18465, 
1588993567756,18589,e
1588993567903,18736,x
1588993568006,18839,x
1588993568338,19171,i
1588993568465,19298,s
1588993568621,19454,t
1588993568654,19487,i
1588993568846,19679,n
1588993568972,19805,g
1588993569132,19965, 
1588993569378,20211,h
1588993569523,20356,i
1588993569633,20466,s
1588993569741,20574,t
1588993569819,20652,o
1588993569925,20758,r
1588993570069,20902,y
1588993570453,21286,a
1588993570563,21396,n
1588993570698,21531,d
1588993570888,21721,l
1588993570992,21825,i
1588993571071,21904,t
1588993571276,22109,e
1588993571328,22161,r
1588993571466,22299,a
1588993571520,22353,t
1588993571629,22462,u
1588993571695,22528,r
1588993571776,22609,e
1588993571882,22715, 
1588993572042,22875,p
1588993572153,22986,r
1588993572248,23081,o
1588993572331,23164,g
1588993572560,23393,r
1588993572692,23525,a
1588993572822,23655,m
1588993572915,23748, 
1588993573267,24100,A
1588993573352,24185,CapsLock
1588993573585,24418,m
1588993573666,24499,e
1588993573730,24563,r
1588993573922,24755,i
1588993574047,24880,c
1588993574147,24980,a
1588993574272,25105, 
1588993574508,25341,CapsLock
1588993574509,25342,s
1588993574753,25586,t
1588993574884,25717,u
1588993574974,25807,d
1588993575120,25953,i
1588993575220,26053,e
1588993575292,26125,s
1588993575499,26332,.
1588993575567,26400, 
1588993575830,26663,CapsLock
1588993575834,26667,i
1588993576066,26899,t
1588993576242,27075, 
1588993576378,27211,d
1588993576541,27374,r
1588993576698,27531,a
1588993576778,27611,f
1588993576928,27761,t
1588993577116,27949,e
1588993577291,28124,d
1588993577399,28232, 
1588993577542,28375,m
1588993577647,28480,e
1588993577701,28534, 
1588993577841,28674,a
1588993577917,28750,n
1588993578054,28887,d
1588993578142,28975, 
1588993578242,29075,s
1588993578351,29184,o
1588993578442,29275,m
1588993578559,29392,e
1588993578631,29464, 
1588993578759,29592,o
1588993578880,29713,r
1588993579178,30011,t
1588993579425,30258,h
1588993579561,30394,e
1588993579633,30466,r
1588993579758,30591, 
1588993579986,30819,m
1588993580107,30940,e
1588993580194,31027,r
1588993580425,31258,r
1588993580577,31410,y
1588993580643,31476, 
1588993581087,31920,h
1588993581254,32087,i
1588993581393,32226,p
1588993581525,32358,p
1588993581687,32520,i
1588993581780,32613,e
1588993581905,32738, 
1588993582135,32968,I
1588993582151,32984,CapsLock
1588993582406,33239,v
1588993582557,33390,y
1588993582623,33456, 
1588993582707,33540,g
1588993582894,33727,r
1588993583017,33850,a
1588993583143,33976,d
1588993583248,34081,u
1588993583376,34209,a
1588993583428,34261,t
1588993583597,34430,e
1588993583660,34493,s
1588993583769,34602, 
1588993583887,34720,t
1588993584023,34856,o
1588993584093,34926, 
1588993584259,35092,b
1588993584417,35250,l
1588993584539,35372,a
1588993584577,35410,n
1588993584745,35578,k
1588993584818,35651,e
1588993585079,35912,t
1588993585121,35954, 
1588993585280,36113,t
1588993585300,36133,h
1588993585494,36327,e
1588993585634,36467, 
1588993585712,36545,s
1588993585828,36661,t
1588993585969,36802,a
1588993585992,36825,t
1588993586159,36992,e
1588993586265,37098, 
1588993586359,37192,a
1588993586446,37279,n
1588993586526,37359,d
1588993586649,37482, 
1588993586725,37558,g
1588993586891,37724,a
1588993586965,37798,t
1588993587075,37908,h
1588993587180,38013,e
1588993587217,38050,r
1588993587340,38173, 
1588993587457,38290,e
1588993587677,38510,x
1588993587888,38721,i
1588993588049,38882,s
1588993588205,39038,t
1588993588254,39087,i
1588993588427,39260,n
1588993588518,39351,g
1588993588622,39455, 
1588993588778,39611,f
1588993588857,39690,o
1588993589073,39906,l
1588993589201,40034,k
1588993589258,40091, 
1588993589475,40308,m
1588993589580,40413,a
1588993589726,40559,n
1588993589906,40739,i
1588993590015,40848,f
1588993590200,41033,e
1588993590282,41115,s
1588993590404,41237,t
1588993590560,41393,a
1588993590657,41490,t
1588993590764,41597,i
1588993590896,41729,o
1588993590944,41777,n
1588993591062,41895,s
1588993591354,42187,.
1588993591406,42239, 
1588993591698,42531,W
1588993591717,42550,CapsLock
1588993591986,42819,e
1588993592114,42947, 
1588993592287,43120,p
1588993592485,43318,l
1588993592577,43410,u
1588993592784,43617,n
1588993592872,43705,d
1588993593060,43893,e
1588993593178,44011,r
1588993593287,44120,e
1588993593463,44296,d
1588993593713,44546, 
1588993593854,44687,f
1588993594000,44833,l
1588993594582,45415,a
1588993594840,45673,r
1588993595078,45911,Backspace
1588993595203,46036,Backspace
1588993595340,46173,Backspace
1588993595506,46339,Backspace
1588993595793,46626,f
1588993596026,46859,a
1588993596242,47075,r
1588993596554,47387, 
1588993596713,47546,f
1588993596817,47650,l
1588993596904,47737,u
1588993597083,47916,n
1588993597190,48023,g
1588993597303,48136, 
1588993597446,48279,s
1588993597713,48546,a
1588993597864,48697,l
1588993598009,48842,v
1588993598152,48985,a
1588993598302,49135,t
1588993598361,49194,i
1588993598494,49327,o
1588993598575,49408,n
1588993598619,49452, 
1588993598781,49614,a
1588993598876,49709,r
1588993598977,49810,m
1588993599180,50013,y
1588993599214,50047, 
1588993599354,50187,t
