Time in Milliseconds, Duration from start, Key
1588718884751,0,a
1588718886898,2147,a
1588718888954,4203,a
1588718890936,6185,Enter
1588718892787,8036,Enter
1588718895042,10291,i
1588718895146,10395, 
1588718895257,10506,w
1588718895441,10690,a
1588718895529,10778,s
1588718895662,10911,n
1588718895803,11052,'
1588718895874,11123,t
1588718895988,11237, 
1588718896083,11332,s
1588718896152,11401,e
1588718896366,11615,e
1588718896427,11676,k
1588718896646,11895,i
1588718896743,11992,n
1588718896947,12196,g
1588718897122,12371, 
1588718897335,12584,a
1588718897422,12671,n
1588718897489,12738,s
1588718897724,12973,w
1588718897841,13090,e
1588718897907,13156,r
1588718898090,13339,.
1588718898330,13579, 
1588718898502,13751,Shift
1588718898594,13843,i
1588718898709,13958, 
1588718898846,14095,f
1588718899062,14311,e
1588718899373,14622,l
1588718899585,14834,t
1588718899678,14927, 
1588718899942,15191,t
1588718900064,15313,h
1588718900280,15529,a
1588718900535,15784,t
1588718900703,15952, 
1588718901107,16356,Shift
1588718901108,16357,i
1588718901252,16501, 
1588718901507,16756,h
1588718901699,16948,a
1588718901951,17200,d
1588718902097,17346, 
1588718902292,17541,t
1588718902499,17748,h
1588718902814,18063,o
1588718902995,18244,s
1588718903271,18520,e
1588718903504,18753, 
1588718903778,19027,a
1588718904011,19260,l
1588718904275,19524,r
1588718904523,19772,e
1588718904770,20019,a
1588718905003,20252,d
1588718905299,20548,y
1588718905581,20830,.
1588718905738,20987, 
1588718906212,21461,P
1588718906230,21479,Shift
1588718906545,21794,l
1588718906834,22083,e
1588718907113,22362,n
1588718907348,22597,t
1588718907628,22877,y
1588718908005,23254,comma
1588718908233,23482, 
1588718908515,23764,i
1588718909060,24309, 
1588718909545,24794,n
1588718909838,25087, 
1588718910191,25440,m
1588718910781,26030,u
1588718911051,26300,l
1588718911230,26479,t
1588718911404,26653,i
1588718911635,26884,t
1588718911795,27044,u
1588718912000,27249,d
1588718912254,27503,e
1588718912489,27738,comma
1588718912702,27951, 
1588718912889,28138,f
1588718913163,28412,r
1588718913418,28667,o
1588718913769,29018,m
1588718914021,29270,a
1588718914204,29453, 
1588718914883,30132,t
1588718915165,30414,h
1588718915394,30643,o
1588718915629,30878,u
1588718915794,31043,s
1588718916073,31322,a
1588718916256,31505,n
1588718916445,31694,d
1588718916588,31837, 
1588718916779,32028,d
1588718917044,32293,i
1588718917245,32494,f
1588718917483,32732,f
1588718917683,32932,e
1588718918025,33274,r
1588718918258,33507,e
1588718918573,33822,n
1588718918724,33973,t
1588718918953,34202, 
1588718919141,34390,s
1588718919378,34627,o
1588718919700,34949,u
1588718919883,35132,r
1588718920174,35423,c
1588718920400,35649,e
1588718920687,35936,s
1588718920933,36182,.
1588718921145,36394, 
1588718921414,36663,Shift
1588718921421,36670,i
1588718921545,36794, 
1588718921764,37013,w
1588718922062,37311,a
1588718922276,37525,s
1588718922437,37686,n
1588718922978,38227,'
1588718923245,38494,t
1588718923491,38740, 
1588718923645,38894,s
1588718923871,39120,e
1588718924092,39341,e
1588718924336,39585,k
