Time in Milliseconds, Duration from start, Key
1588716798489,40724,o
1588716798549,40784, 
1588716798747,40982,m
1588716799211,41446,a
1588716799258,41493,n
1588716799478,41713,y
1588716799594,41829, 
1588716799697,41932,o
1588716799875,42110,'
1588716799965,42200,s
1588716800077,42312, 
1588716800164,42399,e
1588716800346,42581,v
1588716800501,42736,e
1588716800653,42888,n
1588716800654,42889, 
1588716801210,43445,7
1588716801372,43607, 
1588716801527,43762,o
1588716801740,43975,'
1588716801884,44119,s
1588716802007,44242, 
1588716802143,44378,i
1588716802220,44455, 
1588716802292,44527,j
1588716802565,44800,u
1588716802585,44820,s
1588716802656,44891,t
1588716802732,44967, 
1588716802845,45080,t
1588716802882,45117,o
1588716803152,45387,o
1588716803221,45456,k
1588716803288,45523, 
1588716803419,45654,a
1588716803471,45706, 
1588716803548,45783,l
1588716803742,45977,o
1588716803850,46085,n
1588716803906,46141,g
1588716803959,46194, 
1588716804075,46310,p
1588716804182,46417,a
1588716804282,46517,u
1588716804331,46566,s
1588716804403,46638,e
1588716804540,46775, 
1588716804624,46859,t
1588716804735,46970,o
1588716804820,47055, 
1588716804923,47158,t
1588716805115,47350,s
1588716805124,47359,e
1588716805207,47442,t
1588716805312,47547, 
1588716805457,47692,t
1588716805538,47773,h
1588716805626,47861,i
1588716805699,47934,s
1588716805798,48033, 
1588716805905,48140,l
1588716805989,48224,e
1588716806054,48289,t
1588716806216,48451,t
1588716806371,48606,e
1588716806440,48675,r
1588716806576,48811,'
1588716806705,48940,s
1588716806808,49043, 
1588716806882,49117,t
1588716807092,49327,r
1588716807143,49378,y
1588716807184,49419, 
1588716807430,49665,m
1588716807515,49750,o
1588716807521,49756,r
1588716807558,49793,e
1588716807689,49924, 
1588716807794,50029,c
1588716807966,50201,a
1588716808066,50301,p
1588716808159,50394,i
1588716808222,50457,t
1588716808338,50573,a
1588716808434,50669,l
1588716808539,50774, 
1588716808657,50892,l
1588716808844,51079,t
1588716809465,51700,t
1588716809699,51934,e
1588716809773,52008,r
1588716809968,52203,n
1588716810052,52287,e
1588716810711,52946, 
1588716810860,53095,n
1588716810865,53100,e
1588716811072,53307,x
1588716811271,53506,t
1588716811367,53602, 
1588716813998,56233,h
1588716814101,56336,i
1588716814210,56445, 
1588716814275,56510,t
1588716814399,56634,h
1588716814427,56662,e
1588716814535,56770,r
1588716814613,56848,e
1588716814732,56967, 
1588716816427,58662,A
1588716816676,58911,H
1588716816775,59010,I
1588716816919,59154,F
1588716817243,59478,H
1588716817597,59832,D
1588716817755,59990,K
1588716817884,60119,S
1588716818456,60691,Shift
1588716819386,61621, 
1588716819714,61949,$
1588716819741,61976,Shift
1588716819956,62191, 
1588716820191,62426,h
1588716820290,62525,i
1588716820354,62589, 
1588716820446,62681,t
1588716820559,62794,h
1588716820571,62806,e
1588716820698,62933,r
