Time in Milliseconds, Duration from start, Key
1588713068569,47043,m
1588713068723,47197,a
1588713068740,47214,n
1588713069043,47517,y
1588713069107,47581, 
1588713069602,48076,o
1588713069882,48356,'
1588713070023,48497,s
1588713070165,48639, 
1588713070266,48740,e
1588713070443,48917,v
1588713070594,49068,e
1588713070674,49148,n
1588713070750,49224, 
1588713073755,52229,7
1588713073867,52341, 
1588713074090,52564,o
1588713074323,52797,'
1588713074451,52925,s
1588713074634,53108, 
1588713074969,53443,i
1588713075058,53532, 
1588713075146,53620,j
1588713075354,53828,u
1588713075419,53893,s
1588713075467,53941,t
1588713075558,54032, 
1588713075670,54144,t
1588713075713,54187,o
1588713075923,54397,o
1588713076043,54517,k
1588713076127,54601, 
1588713076276,54750,a
1588713076298,54772, 
1588713076403,54877,l
1588713076619,55093,o
1588713076707,55181,n
1588713076780,55254,g
1588713076831,55305, 
1588713077003,55477,p
1588713077123,55597,a
1588713077250,55724,u
1588713077326,55800,s
1588713077426,55900,e
1588713077507,55981, 
1588713077642,56116,t
1588713077733,56207,o
1588713077796,56270, 
1588713077883,56357,t
1588713078099,56573,e
1588713078115,56589,s
1588713078179,56653,t
1588713078235,56709, 
1588713078382,56856,t
1588713078443,56917,h
1588713078539,57013,i
1588713078602,57076,s
1588713078691,57165, 
1588713078795,57269,l
1588713078883,57357,e
1588713078939,57413,t
1588713079059,57533,'
1588713079131,57605,s
1588713079235,57709, 
1588713079478,57952,t
1588713079732,58206,r
1588713079859,58333,y
1588713079892,58366, 
1588713080116,58590,m
1588713080223,58697,o
1588713080243,58717,r
1588713080279,58753,e
1588713080414,58888, 
1588713080528,59002,c
1588713080699,59173,a
1588713080826,59300,p
1588713080971,59445,t
1588713081051,59525,i
1588713081234,59708,a
1588713081332,59806,l
1588713081511,59985, 
1588713081603,60077,l
1588713081706,60180,e
1588713081735,60209,t
1588713081880,60354,t
1588713082035,60509,e
1588713082099,60573,r
1588713082263,60737,s
1588713082331,60805, 
1588713082468,60942,n
1588713082485,60959,e
1588713082668,61142,x
1588713082803,61277,t
1588713082935,61409, 
1588713083144,61618,A
1588713083323,61797,H
1588713083580,62054,I
1588713083859,62333,F
1588713084099,62573,H
1588713084323,62797,D
1588713084514,62988,K
1588713084604,63078,Shift
1588713084788,63262, 
1588713086252,64726,$
1588713086295,64769,Shift
1588713086843,65317, 
1588713087367,65841,h
1588713087611,66085,i
1588713087859,66333, 
1588713087975,66449,t
1588713088084,66558,h
1588713088159,66633,e
1588713088296,66770,r
1588713088383,66857,e
1588713088495,66969, 
1588713088992,67466,l
1588713089118,67592,e
1588713089175,67649,t
1588713089287,67761,'
1588713089375,67849,s
1588713089463,67937, 
1588713089591,68065,s
1588713089663,68137,e
1588713089840,68314,e
1588713089935,68409, 
1588713090054,68528,i
1588713090111,68585,f
1588713090209,68683, 
1588713090303,68777,i
1588713090359,68833,t
1588713090480,68954, 
1588713090550,69024,r
1588713090671,69145,e
1588713090816,69290,g
1588713090951,69425,i
1588713091032,69506,s
1588713091094,69568,t
1588713091239,69713,e
1588713091335,69809,r
1588713091407,69881,e
1588713091599,70073,d
1588713091686,70160, 
1588713091799,70273,s
1588713091878,70352,h
1588713091952,70426,f
1588713091952,70426,i
1588713092127,70601,t
1588713092199,70673, 
1588713092328,70802,m
1588713092544,71018,u
1588713092647,71121,l
1588713092759,71233,t
1588713092879,71353,i
1588713092950,71424,p
1588713093135,71609,l
1588713093168,71642,e
1588713093295,71769, 
1588713093406,71880,t
1588713093446,71920,i
1588713093551,72025,e
1588713093567,72041,m
1588713093719,72193,s
1588713093815,72289, 
1588713093999,72473,o
1588713094056,72530,r
1588713094199,72673, 
1588713094287,72761,n
1588713094368,72842,o
1588713094454,72928,t
1588713094578,73052, 
1588713094719,73193,i
1588713094775,73249, 
1588713094840,73314,w
1588713094969,73443,o
1588713095039,73513,n
1588713095054,73528,d
1588713095279,73753,e
1588713095345,73819,r
1588713095502,73976, 
1588713096103,74577,!
1588713096135,74609,Shift
1588713097031,75505, 
1588713097247,75721,o
1588713097343,75817,r
1588713097465,75939, 
1588713097799,76273,!
1588713097831,76305,Shift
1588713098217,76691, 
1588713098471,76945,o
1588713098575,77049,r
1588713098712,77186, 
1588713099172,77646,@
1588713099184,77658,Shift
1588713099447,77921, 
1588713099793,78267,o
1588713099903,78377,r
1588713100080,78554, 
1588713100703,79177,%
1588713100784,79258,Shift
1588713101732,80206, 
1588713101919,80393,o
1588713102024,80498,k
1588713102135,80609, 
1588713102280,80754,i
1588713102335,80809, 
1588713102440,80914,t
1588713102560,81034,h
1588713102648,81122,i
1588713102792,81266,n
1588713102872,81346,k
1588713102936,81410, 
1588713103063,81537,t
1588713103139,81613,h
1588713103208,81682,i
1588713103304,81778,s
1588713103360,81834, 
1588713103479,81953,i
1588713103560,82034,s
1588713103632,82106, 
1588713103753,82227,p
1588713103784,82258,r
1588713103943,82417,o
1588713104023,82497,b
1588713104207,82681,a
1588713104240,82714,b
1588713104388,82862,l
1588713104464,82938,y
1588713104512,82986, 
1588713104632,83106,e
1588713104695,83169,n
1588713104847,83321,o
1588713104888,83362,u
1588713105088,83562,h
1588713106132,84606,Backspace
1588713106376,84850,g
1588713106495,84969,h
1588713106584,85058, 
1588713106711,85185,t
1588713106823,85297,o
1588713106873,85347, 
1588713106953,85427,t
1588713107143,85617,r
1588713107264,85738,y
1588713107302,85776, 
1588713107423,85897,a
1588713107575,86049,d
1588713107673,86147, 
1588713107800,86274,s
1588713107840,86314,e
1588713108031,86505,e
1588713108195,86669, 
1588713108456,86930,o
1588713109136,87610, 
1588713109600,88074,i
1588713109703,88177,f
1588713109807,88281, 
1588713109911,88385,t
1588713109992,88466,h
1588713110072,88546,i
1588713110136,88610,s
1588713110240,88714, 
1588713110335,88809,w
1588713110436,88910,o
1588713110527,89001,r
1588713110607,89081,k
1588713110684,89158,e
1588713110892,89366,d
1588713111026,89500,.
